Device Type: FT1080
Firmware Version:20240731113137
Start Freqency Division:1
Window Resolution:64ps
Mask Window:0 ns
Start Threshold:1499mV
Stop Threshold:1499mV
Stop Delay(ns):ch0 0.0 ns,ch1 0.0 ns,ch2 0.0 ns,ch3 0.0 ns,ch4 0.0 ns,ch5 0.0 ns,ch6 0.0 ns,ch7 0.0 ns,
Mode:T3

[Flag:] 0(Event)	1(Control Field)
Flag	 Channel	 Time(bin)	 Time(ps)	 Seq
0	3	26819	1716416	110647
0	3	27685	1771840	110647
0	3	3803	243392	111240
0	3	5592	357888	111240
0	0	4211	269504	111808
0	2	29788	1906432	112212
0	2	14724	942336	113222
0	0	16244	1039616	113722
0	3	27213	1741632	113887
0	0	8201	524864	114143
0	3	30962	1981568	114283
0	3	18094	1158016	114467
0	2	24218	1549952	114983
0	3	22889	1464896	115153
0	3	24896	1593344	115153
0	3	26041	1666624	115153
0	0	6724	430336	115156
0	1	15980	1022720	115579
0	2	32061	2051904	115841
0	0	9195	588480	115950
0	0	17079	1093056	116501
0	1	23447	1500608	116787
0	1	24370	1559680	116787
0	1	26265	1680960	116787
0	3	32515	2080960	116901
0	3	24308	1555712	117114
0	3	5847	374208	117119
0	1	9990	639360	117783
0	1	13030	833920	117783
0	3	9685	619840	117834
0	0	6241	399424	118293
0	2	12789	818496	118551
0	1	23673	1515072	119058
0	1	20429	1307456	119582
0	2	29851	1910464	119646
0	3	14759	944576	119918
0	3	28912	1850368	120133
0	2	4634	296576	120566
0	0	2486	159104	120677
0	1	28190	1804160	120769
0	1	22739	1455296	120962
0	3	24158	1546112	121001
0	1	24278	1553792	121993
0	0	15983	1022912	122038
0	0	16783	1074112	122038
0	1	20283	1298112	122301
0	1	12282	786048	122623
0	2	18896	1209344	122977
0	3	17499	1119936	123229
0	3	5112	327168	123271
0	1	20195	1292480	124042
0	2	18433	1179712	124057
0	2	193	12352	124453
0	2	3157	202048	124453
0	2	30784	1970176	124806
0	2	3667	234688	124985
0	3	13640	872960	125207
0	0	11161	714304	125262
0	0	9202	588928	125832
0	3	20369	1303616	126085
0	3	22242	1423488	126085
0	3	27842	1781888	126085
0	2	28007	1792448	126218
0	1	8822	564608	126247
0	3	8319	532416	126331
0	3	24141	1545024	126331
0	1	10736	687104	126433
0	2	11104	710656	126625
0	2	23760	1520640	126916
0	1	30900	1977600	126942
0	2	1122	71808	127060
0	0	8649	553536	127168
0	2	13347	854208	127321
0	0	1308	83712	127510
0	2	8198	524672	127536
0	2	1693	108352	127598
0	3	12676	811264	128022
0	0	14466	925824	128446
0	0	3396	217344	128474
0	0	13007	832448	129236
0	0	32676	2091264	129746
0	1	18637	1192768	129778
0	3	10153	649792	130410
0	3	9849	630336	130453
0	1	3029	193856	130632
